names,Date,Kicker Name,Kicker Position,(Lefty RIghty),Kicker Ability %,Quad. of Ball,GoalKeeper,Goalie %,Goalie Height (m),Kickers Steps,Quad. of Goalie,Missed/Saved/Goal,Spread(at the time
Jassenia,12/06/2020,Cristiano ronaldo,Centre Forward,R,81,7,Gianluigi Donnarumma,25.0,1.96,5,4,Miss,0
Jassenia,26/07/2020,Cristiano ronaldo,Centre Forward,R,81,7,Emil Audero,15.0,1.92,4,4,Miss,2
Jassenia,16/12/2020,Cristiano ronaldo,Centre Forward,R,81,6,Pierluigi Gollini,13.0,1.94,3,6,Save,0
Jassenia,05/05/2021,Cristiano ronaldo,Centre Forward,R,81,4,Samir Handanovič,28.0,1.93,3,4,Save,0
Jassenia,01/02/2021,Cristiano ronaldo,Centre Forward,R,81,4,Gavin Bazunu,16.0,1.88,5,4,Save,0
Jassenia,17/02/2018,Robert Lewandowski,Centre Forward,R,81,6,Koen Casteels,23.0,1.97,5,6,Goal,0
Jassenia,10/03/2018,Robert Lewandowski,Centre Forward,R,81,6,Christian Mathenia,11.0,1.9,3,6,Goal,5
Jassenia,17/02/2025,Robert Lewandowski,Centre Forward,R,81,4,Augusto Batalla,20.0,1.86,5,6,goal,0
Jassenia,07/11/2018,Robert Lewandowski,Centre Forward,R,81,3,Vasilios Barkas,12.0,1.96,6,4,Goal,0
Jassenia,12/12/2018,Robert Lewandowski,Centre Forward,R,81,4,Andre Onana,14.0,1.9,9,6,Goal,-1
Jassenia,05/10/2025,Robert Lewandowski,Centre Forward,R,81,7,Odysseas Vlachodimos,13.0,1.91,9,4,Miss,-1
Jassenia,22/11/2022,Robert Lewandowski,Centre Forward,R,81,6,Guillermo Ochoa,12.0,1.85,11,6,Save,0
Jassenia,04/05/2013,Robert Lewandowski,Centre Forward,R,81,6,Manuel Neuer,22.0,1.93,8,6,Save,0
Jassenia,07/09/2010,Robert Lewandowski,Centre Forward,R,81,6,Adam Federici,14.0,1.88,6,6,Save,-1
Jassenia,17/08/2014,Robert Lewandowski,Centre Forward,R,81,6,Daniel Masuch,26.0,1.9,9,6,Save,3
Jassenia,31/01/2015,harry kane,Centre Forward,R,81,2,Ben Foster,16.0,1.93,4,6,goal,2
Jassenia,21/03/2015,harry kane,Centre Forward,R,81,4,Kasper Schmeichel,21.0,1.89,3,5,goal,0
Jassenia,25/10/2015,harry kane,Centre Forward,R,81,6,Artur Boruc,19.0,1.93,3,4,goal,-1
Jassenia,04/02/2018,harry kane,Centre Forward,R,81,6,Loris Karius,25.0,1.91,3,4,goal,-1
Jassenia,30/04/2024,harry kane,Centre Forward,R,81,4,Andriy Lunin,30.0,1.91,4,6,goal,0
Jassenia,10/09/2019,harry kane,Centre Forward,R,81,4,Arijanet Murić,26.0,1.98,3,4,saved,2
Jassenia,28/08/2022,harry kane,Centre Forward,R,81,1,Dean Henderson,39.0,1.88,2,1,saved,1
Jassenia,28/12/2016,harry kane,Centre Forward,R,81,7,Fraser Forster,27.0,2.01,4,4,missed,1
Jassenia,22/05/2016,harry kane,Centre Forward,R,81,1,Volkan Babacan,15.0,1.92,4,4,saved,0
Jassenia,10/12/2022,harry kane,Centre Forward,R,81,7,Hugo Lloris,10.0,1.88,4,1,missed,-1
Sarah,06/04/2016,Zlatan Ibrahimović,Centre-Forward,R,83.65,4,Joe Hart,20.27,1.96,3,4,Saved,0
Sarah,30/01/2021,Zlatan Ibrahimović,Centre-Forward,R,83.65,4,Lukasz Skorupski,20.27,1.88,3,4,Saved,0
Sarah,08/08/2014,Zlatan Ibrahimović,Centre-Forward,R,83.65,6,Johny Placide,15.38,1.81,4,6,Saved,1
Sarah,29/10/2020,Zlatan Ibrahimović,Centre-Forward,R,83.65,7,Milan Heca,6.45,1.87,4,4,Missed,1
Sarah,04/03/2017,Zlatan Ibrahimović,Centre-Forward,R,83.65,7,Artur Boruc,18.57,1.93,4,4,Missed,0
Sarah,14/04/2019,Zlatan Ibrahimović,Centre-Forward,R,83.65,4,Andre Blake,25.53,1.88,3,6,Goal,1
Sarah,19/08/2016,Zlatan Ibrahimović,Centre-Forward,R,83.65,4,Fraser Forster,26.67,2.01,4,6,Goal,1
Sarah,06/05/2012,Zlatan Ibrahimović,Centre-Forward,R,83.65,4,Júlio César,20.69,1.86,4,5,Goal,-1
Sarah,18/08/2019,Zlatan Ibrahimović,Centre-Forward,R,83.65,4,Stefan Frei,7.35,1.95,4,4,Goal,0
Sarah,01/04/2019,Zlatan Ibrahimović,Centre-Forward,R,83.65,3,Jeff Attinella,19.35,1.88,4,5,Goal,0
Sarah,05/04/2017,Eden Hazard,Left Winger,R,86.89,6,	Willy Caballero,15.79,1.86,2,6,Saved,1
Sarah,16/09/2015,Eden Hazard,Left Winger,R,86.89,7,Predrag Rajković,26.92,1.91,1,5,Missed,0
Sarah,10/10/2015,Eden Hazard,Left Winger,R,86.89,1,	Ferran Pol,18.18,1.82,3,1,Saved,3
Sarah,05/11/2014,Eden Hazard,Left Winger,R,86.89,5,	Jasmin Handanovic,20,1.96,2,5,Saved,0
Sarah,05/12/2012,Eden Hazard,Left Winger,R,86.89,6,Jesper Hansen,21.74,1.88,3,6,Saved,0
Sarah,19/05/2018,Eden Hazard,Left Winger,R,86.89,6,David de Gea,18.07,1.92,2,4,Goal,0
Sarah,09/11/2013,Eden Hazard,Left Winger,R,86.89,6,Boaz Myhill,12.12,1.91,3,4,Goal,-1
Sarah,02/04/2014,Eden Hazard,Left Winger,R,86.89,4,	Salvatore Sirigu,15.29,1.92,2,6,Goal,-1
Sarah,23/06/2018,Eden Hazard,Left Winger,R,86.89,4,Farouk Mustapha,17.31,1.92,2,6,Goal,0
Sarah,26/12/2016	,Eden Hazard,Left Winger,R,86.89,6,	Artur Boruc,18.57,1.93,2,5,Goal,1
Sarah,21/06/2010,David Villa,Centre-Forward,R,84.95,7,Noel Valladares,16.67,1.79,4,5,Missed,2
Sarah,20/04/2013,David Villa,Centre-Forward,L,84.95,6,Keylor Navas,19.44,1.85,4,6,Saved,0
Sarah,29/05/2016,David Villa,Centre-Forward,L,84.95,7,Joe Bendik,9.09,1.91,3,5,Missed,2
Sarah,18/04/2014,David Villa,Centre-Forward,L,84.95,5,Manu Herrera,4.17,1.82,3,5,Saved,0
Sarah,12/07/2015,David Villa,Centre-Forward,R,84.95,6,Chris Konopka,28.57,1.97,3,6,Saved,1
Sarah,01/08/2015,David Villa,Centre-Forward,R,84.95,4,Evan Bush,18.87,1.88,3,4,Goal,-2
Sarah,12/10/2010,David Villa,Centre-Forward,R,84.95,6,	Allan McGregor,29.03,1.83,4,6,Goal,0
Sarah,13/03/2016,David Villa,Centre-Forward,R,84.95,5,Clint Irwin,10.34,1.91,5,5,Goal,0
Sarah,23/08/2015,David Villa,Centre-Forward,R,84.95,6,Donovan Ricketts,8.7,1.93,3,4,Goal,-4
Sarah,07/08/2017,David Villa,Centre-Forward,R,84.95,4,	Luis Robles,19.64,1.8,4,6,Goal,0
Sarah,19/02/2012,Luis Suárez,Centre-Forward,R,80.82,6,Peter Brezovan,30,1.98,5,6,Saved,4
Sarah,16/11/2016,Luis Suárez,Centre-Forward,R,80.82,6,Claudio Bravo,18.03,1.84,6,6,Saved,-2
Sarah,17/02/2016,Luis Suárez,Centre-Forward,R,80.82,4,Iván Cuéllar,20.37,1.87,4,4,Saved,1
Sarah,13/08/2011,Luis Suárez,Centre-Forward,R,80.82,7,Simon Mignolet,22.1,1.93,5,4,Missed,0
Sarah,12/02/2022,Luis Suárez,Centre-Forward,R,80.82,4,David Soria,19.61,1.92,3,4,Saved,0
Sarah,19/08/2025,Luis Suárez,Centre-Forward,R,80.82,2,Nahuel Guzmán,10.94,1.91,5,4,Goal,0
Sarah,25/09/2025,Luis Suárez,Centre-Forward,R,80.82,4,Matt Freese,23.81,1.93,5,6,Goal,2
Sarah,28/10/2018,Luis Suárez,Centre-Forward,R,80.82,5,Thibaut Courtois,17.33,2,5,4,Goal,1
Sarah,16/10/2013,Luis Suárez,Centre-Forward,R,80.82,1,Sergio Romero,30.61,1.92,5,4,Goal,0
Sarah,02/09/2018,Luis Suárez,Centre-Forward,R,80.82,2,	Axel Werner,10,1.91,4,5,Goal,5
Sarah,28/05/2016,Antoine Griezmann,Second Striker,L,64.1,6,Keylor Navas,19.44,1.85,5,6,Missed,-1
Sarah,25/01/2024,Antoine Griezmann,Second Striker,L,64.1,7,Ørjan Nyland,16.67,1.92,3,6,Missed,0
Sarah,07/09/2019,Antoine Griezmann,Second Striker,L,64.1,2,Thomas Strakosha,8.82,1.93,4,5,Missed,2
Sarah,05/09/2020,Antoine Griezmann,Second Striker,L,64.1,7,Robin Olsen,10.26,1.96,4,6,Missed,1
Sarah,10/09/2019,Antoine Griezmann,Second Striker,L,64.1,2,Josep Antoni,15.79,1.81,2,2,Saved,1
Sarah,07/07/2016,Antoine Griezmann,Second Striker,L,64.1,1,Manuel Neuer,21.79,1.93,6,6,Goal,0
Sarah,13/04/2016,Antoine Griezmann,Second Striker,L,64.1,6,Marc-André ter Stegen,16.22,1.87,5,6,Goal,1
Sarah,15/07/2018,Antoine Griezmann,Second Striker,L,64.1,4,Danijel Subasic,28.85,1.91,4,6,Goal,0
Sarah,30/06/2018,Antoine Griezmann,Second Striker,L,64.1,4,Franco Armani,15.15,1.89,4,6,Goal,0
Sarah,16/06/2018,Antoine Griezmann,Second Striker,L,64.1,6,Mathew Ryan,16.67,1.84,2,5,Goal,0
Blake,20/03/2025,Andrej Kramaric,Attacking Midfield,R,88.00%,5,Mike Maignan,22.00%,1.91,18,4,Saved,0
Blake,18/04/2023,Khvicha Kvaratskhelia,Left Winger,R,67.00%,4,Mike Maignan,22.00%,1.91,9,4,Saved,1
Blake,24/03/2023,Memphis Depay,Centre-Forward,R,76.00%,6,Mike Maignan,22.00%,1.91,3,6,Saved,4
Blake,15/09/2021,Mohamed Salah,Right Winger,L,83.00%,4,Mike Maignan,22.00%,1.91,11,4,Saved,-1
