names,Date,Kicker Name,Kicker Position,(Lefty RIghty),Kicker Ability %,Quad. of Ball,GoalKeeper,Goalie %,Goalie Height (m),Kickers Steps,Quad. of Goalie,Missed/Saved/Goal,Spread(at the time
Nicola,13/08/2017,Ciro Immobile,Forward,R,82%,6,Gianluigi Buffon,28%,"1,92",11,6,Goal,0
Nicola,28/11/2018,James Milner,Central Midfield,R,86%,6,Gianluigi Buffon,28%,"1,92",6,6,Goal,-2
Nicola,23/05/2015,Lorenzo Insigne,Left Winger,R,80%,4,Gianluigi Buffon,28%,"1,92",6,4,Saved,0
Nicola,12/12/2011,Francesco Totti,Second Striker,R,81%,4,Gianluigi Buffon,28%,"1,92",9,4,Saved,0
Nicola,13/06/2008,Adrian Mutu,Winger,R,79%,6,Gianluigi Buffon,28%,"1,92",4,6,Saved,0
Nicola,14/05/2003,Luis Figo,Right Winger,R,81%,5,Gianluigi Buffon,28%,"1,92",7,5,Saved,-2
Nicola,08/03/1998,Ronaldo,Centre-Forward,R,86%,6,Gianluigi Buffon,28%,"1,92",6,6,Saved,0
Nicola,29/09/2019,Erick Pulgar,Defensive Midfield,R,86%,4,Gianluigi Donnarumma,28%,"1,96",9,6,Goal,0
Nicola,1/11/2020,Rodrigo De Paul,Central Midfield,R,77%,1,Gianluigi Donnarumma,28%,"1,96",4,4,Goal,-1
Nicola,17/03/2019,Lautaro Martinez,Centre-Forward,R,65%,5,Gianluigi Donnarumma,28%,"1,96",5,5,Goal,1
Nicola,1/10/2025,Eric Dier,Centre-Back,R,100%,6,Gianluigi Donnarumma,28%,"1,96",4,4,Goal,-1
Nicola,11/10/2022,João Mário,Attacking Midfield,R,87%,2,Gianluigi Donnarumma,28%,"1,96",5,6,Goal,-1
Nicola,24/062024,Luka Modric,Central Midfield ,R,80%,6,Gianluigi Donnarumma,28%,"1,96",5,6,Saved,0
Nicola,29/09/2019,Federico Chiesa,Right Winger,R,67%,5,Gianluigi Donnarumma,28%,"1,96",4,5,Saved,2
Nicola,3/11/2021,André Silva,Centre-Forward,R,78%,5,Gianluigi Donnarumma,28%,"1,96",4,5,Saved,1
Nicola,15/10/2017,Mauro Icardi,Centre-Forward,R,80%,7,Gianluigi Donnarumma,28%,"1,96",8,5,Missed,1
Nicola,23/12/2020,Ciro Immobile,Forward,R,82%,4,Gianluigi Donnarumma,28%,"1,96",7,4,Saved,-2
Nicola,17/04/2025,Alexandre Lacazette,Centre-Forward,R,84%,4,Andrè Onana,14%,"1,90",5,6,Goal,1
Nicola,13/03/2025,Mikel Oyarzabal,Centre-Forward,L,90%,6,Andrè Onana,14%,"1,90",3,4,Goal,0
Nicola,06/03/2025,Mikel Oyarzabal,Centre-Forward,L,90%,1,Andrè Onana,14%,"1,90",6,6,Goal,-1
Nicola,22/12/2024,Justin Kluivert,Attacking Midfield,R,89%,2,Andrè Onana,14%,"1,90",3,6,Goal,1
Nicola,27/10/2024,Jarrod Bowen,Right Winger,L,70%,6,Andrè Onana,14%,"1,90",4,6,Goal,0
Nicola,14/09/2024,Cameron Archer,Centre-Forward,R,0%,1,Andrè Onana,14%,"1,90",4,1,Saved,0
Nicola,08/06/2024,Kevin Lenini,Defensive Midfield,R,0%,6,Andrè Onana,14%,"1,90",4,6,Saved,-3
Nicola,24/10/2023,Jordan Larsson,Right Winger,L,57%,3,Andrè Onana,14%,"1,90",5,3,Saved,-1
Nicola,24/01/19,Sam Lammers,Centre-Forward,L,71%,6,Andrè Onana,14%,"1,90",4,6,Saved,-2
Nicola,01/04/2018,Mimoun Mahi,Left Winger,R,69%,4,Andrè Onana,14%,"1,90",4,4,Saved,1
Nicola,27/01/2024,Ermedin Demirovic,Centre-Forward,R,67%,4,Manuel Neuer,22%,"1,93",4,6,Goal,-3
Nicola,29/06/2025,Jorginho,Defensive Midfield,R,85%,4,Manuel Neuer,22%,"1,93",4,6,Goal,-2
Nicola,22/01/2025,Santiago Gimenez,Centre-Forward,L,75%,1,Manuel Neuer,22%,"1,93",4,4,Goal,1
Nicola,25/08/2024,Lovro Majer,Attacking Midfield,L,94%,4,Manuel Neuer,22%,"1,93",4,6,Goal,-1
Nicola,14/02/2024,Ciro Immobile,Forward,R,82%,6,Manuel Neuer,22%,"1,93",9,4,Goal,0
Nicola,27/01/2024,Sven Michel,Left Winger,L,80%,6,Manuel Neuer,22%,"1,93",4,6,Saved,-2
Nicola,22/05/2021,Daniel Caligiuri,Right Winger,R,91%,2,Manuel Neuer,22%,"1,93",3,2,Saved,-2
Nicola,16/11/2019,Igor Stasevich,Left Winger,R,56%,4,Manuel Neuer,22%,"1,93",5,4,Saved,-3
Nicola,26/10/2019,Sebastian Andersson,Centre-Forward,R,80%,4,Manuel Neuer,22%,"1,93",4,4,Saved,-2
Nicola,15/02/2017,Alexis Sanchez,Centre-Forward,R,50%,4,Manuel Neuer,22%,"1,93",5,4,Saved,-1
Nicola,9/11/2025,Domenico Berardi,Right Winger,L,88%,6,Marco Carnesecchi,33%,"1,91",5,4,Goal,1
Nicola,27/04/2025,Jesper Karlsson,Left Winger,R,84%,5,Marco Carnesecchi,33%,"1,91",6,4,Goal,1
Nicola,22/12/2024,Sebastiano Esposito,Second Striker,R,95%,2,Marco Carnesecchi,33%,"1,91",4,6,Goal,0
Nicola,12/05/2024,Lorenzo Pellegrini,Attacking Midfield,R,75%,4,Marco Carnesecchi,33%,"1,91",4,4,Goal,-1
Nicola,03/03/2024,Joshua Zirkzee,Centre-Forward,R,83%,6,Marco Carnesecchi,33%,"1,91",5,5,Goal,0
Nicola,21/09/2025,Duvan Zapata,Centre-Forward,R,69%,5,Marco Carnesecchi,33%,"1,91",4,5,Saved,-3
Nicola,17/09/2025,Bradley Barcola,Left Winger,R,0%,5,Marco Carnesecchi,33%,"1,91",2,5,Saved,2
Nicola,28/02/2024,Lautaro Martinez,Centre-Forward,R,65%,4,Marco Carnesecchi,33%,"1,91",6,4,Saved,2
Nicola,17/02/2024,Andrea Pinamonti,Centre-Forward,R,83%,4,Marco Carnesecchi,33%,"1,91",5,4,Saved,-1
Nicola,22/02/2022,Alessio Da Cruz,Left Winger,R,50%,5,Marco Carnesecchi,33%,"1,91",5,5,Saved,0
